player,player_id,position,team_name,grades_offense,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Braden Smith,46794,T,IND,80.1,1015,26.0,2020,1073,Braden Smith,2020,24,4,"$7,193,690",1798423
Morgan Moses,8701,T,WAS,79.9,1137,28.0,2020,1648,Morgan Moses,2020,29,5,"$38,500,000",7700000
Mike McGlinchey,46275,T,SF,79.6,1091,29.0,2020,1294,Mike McGlinchey,2020,25,4,"$18,341,721",4585430
Ryan Ramczyk,11787,T,NO,79.4,1178,30.0,2020,1679,Ryan Ramczyk,2020,26,4,"$8,891,554",2222889
Daryl Williams,9535,T,BUF,79.2,1237,31.0,2020,420,Daryl Williams,2020,27,1,"$2,250,000",2250000
Cornelius Lucas,9025,T,WAS,78.9,608,32.0,2020,407,Cornelius Lucas,2020,28,2,"$3,800,000",1900000
Laken Tomlinson,9461,G,SF,78.8,1093,33.0,2020,1266,Laken Tomlinson,2020,28,3,"$16,500,000",5500000
Ben Jones,7099,C,TEN,78.6,1092,34.0,2020,670,Ben Jones,2020,31,2,"$13,500,000",6750000
Brian O'Neill,46854,T,MIN,78.0,1070,35.0,2020,1088,Brian O'Neill,2020,24,4,"$4,406,638",1101660
Orlando Brown Jr.,46227,T,BLT,77.8,1168,36.0,2020,1309,Orlando Brown Jr.,2020,24,4,"$3,491,720",872930
Chris Lindstrom,46692,G,ATL,77.1,1122,37.0,2020,713,Chris Lindstrom,2020,23,4,"$14,727,287",3681822
Chase Roullier,11954,C,WAS,76.4,1161,38.0,2020,392,Chase Roullier,2020,27,4,"$40,500,000",10125000
Jake Matthews,8641,T,ATL,75.5,1113,39.0,2020,1195,Jake Matthews,2020,28,5,"$72,500,000",14500000
Laremy Tunsil,10647,T,HST,75.4,817,40.0,2020,532,Laremy Tunsil,2020,25,3,"$66,000,000",22000000
Cody Whitehair,10690,C,CHI,75.0,942,41.0,2020,719,Cody Whitehair,2020,28,5,"$51,250,000",10250000
Charles Leno Jr.,8880,T,CHI,74.9,1115,42.0,2020,1447,Charles Leno Jr.,2020,28,4,"$37,000,000",9250000
